Episode 10	Average Score: 0.30
Episode 20	Average Score: 0.75
Episode 30	Average Score: 1.70
Episode 40	Average Score: 2.40
Episode 50	Average Score: 2.78
Episode 60	Average Score: 2.95
Episode 70	Average Score: 3.03
Episode 80	Average Score: 3.16
Episode 90	Average Score: 3.38
Episode 100	Average Score: 3.60
Episode 110	Average Score: 4.12
Episode 120	Average Score: 4.77
Episode 130	Average Score: 4.82
Episode 140	Average Score: 4.95
Episode 150	Average Score: 5.07
Episode 160	Average Score: 5.34
Episode 170	Average Score: 5.73
Episode 180	Average Score: 5.93
Episode 190	Average Score: 6.00
Episode 200	Average Score: 6.31
Episode 210	Average Score: 6.54
Episode 220	Average Score: 6.58
Episode 230	Average Score: 7.00
Episode 240	Average Score: 7.24
Episode 250	Average Score: 7.40
Episode 260	Average Score: 7.56
Episode 270	Average Score: 7.77
Episode 280	Average Score: 7.84
Episode 290	Average Score: 8.08
Episode 300	Average Score: 8.04
Episode 310	Average Score: 8.11
Episode 320	Average Score: 8.02
Episode 330	Average Score: 7.97
Episode 340	Average Score: 7.99
Episode 350	Average Score: 8.04
Episode 360	Average Score: 8.50
Episode 370	Average Score: 8.53
Episode 380	Average Score: 9.03
Episode 390	Average Score: 9.61
Episode 400	Average Score: 9.91
Episode 410	Average Score: 10.12
Episode 420	Average Score: 10.63
Episode 430	Average Score: 11.04
Episode 440	Average Score: 11.56
Episode 450	Average Score: 12.04
Episode 460	Average Score: 12.07
Episode 470	Average Score: 12.22
Episode 480	Average Score: 12.27
Episode 490	Average Score: 12.30
Episode 500	Average Score: 12.56
Episode 510	Average Score: 12.87
Episode 520	Average Score: 12.88
Episode 530	Average Score: 13.01
Episode 540	Average Score: 12.81
Episode 550	Average Score: 12.75
Episode 560	Average Score: 12.68
Episode 570	Average Score: 12.62
Episode 580	Average Score: 12.66
Episode 590	Average Score: 12.57
Episode 600	Average Score: 12.47
Episode 610	Average Score: 12.47
Episode 620	Average Score: 12.44
Episode 630	Average Score: 12.68
Episode 640	Average Score: 12.72
Episode 650	Average Score: 12.75
Episode 660	Average Score: 12.85
Episode 670	Average Score: 13.15
Episode 680	Average Score: 13.37
Episode 690	Average Score: 13.41
Episode 700	Average Score: 13.52
Episode 710	Average Score: 13.33
Episode 720	Average Score: 13.54
Episode 730	Average Score: 13.35
Episode 740	Average Score: 13.34
Episode 750	Average Score: 13.24
Episode 760	Average Score: 13.10
Episode 770	Average Score: 13.10
Episode 780	Average Score: 13.39
Episode 790	Average Score: 13.46
Episode 800	Average Score: 13.54
Episode 810	Average Score: 13.83
Episode 820	Average Score: 13.81
Episode 830	Average Score: 13.72
Episode 840	Average Score: 13.74
Episode 850	Average Score: 13.75
Episode 860	Average Score: 14.09
Episode 870	Average Score: 14.30
Episode 880	Average Score: 13.79
Episode 890	Average Score: 14.02
Episode 900	Average Score: 13.96
Episode 910	Average Score: 13.90
Episode 920	Average Score: 13.94
Episode 930	Average Score: 13.97
Episode 940	Average Score: 14.47
Episode 950	Average Score: 14.76
Episode 960	Average Score: 14.62
Episode 970	Average Score: 14.35
Episode 980	Average Score: 14.64
Episode 990	Average Score: 14.37
Episode 1000	Average Score: 14.50
Episode 1001	Average Score: 14.43
