Episode 10	Average Score: 0.00
Episode 20	Average Score: 0.006
Episode 30	Average Score: 0.07
Episode 40	Average Score: 0.57
Episode 50	Average Score: 0.88
Episode 60	Average Score: 1.62
Episode 70	Average Score: 2.40
Episode 80	Average Score: 2.81
Episode 90	Average Score: 3.10
Episode 100	Average Score: 3.43
Episode 110	Average Score: 4.16
Episode 120	Average Score: 5.05
Episode 130	Average Score: 5.78
Episode 140	Average Score: 6.53
Episode 150	Average Score: 7.15
Episode 160	Average Score: 7.55
Episode 170	Average Score: 7.86
Episode 180	Average Score: 8.32
Episode 190	Average Score: 9.06
Episode 200	Average Score: 9.76
Episode 210	Average Score: 10.07
Episode 220	Average Score: 10.28
Episode 230	Average Score: 10.70
Episode 240	Average Score: 11.11
Episode 250	Average Score: 11.56
Episode 260	Average Score: 11.80
Episode 270	Average Score: 12.08
Episode 280	Average Score: 12.44
Episode 290	Average Score: 12.79
Episode 300	Average Score: 12.81
Episode 310	Average Score: 13.04
Episode 320	Average Score: 13.55
Episode 330	Average Score: 13.84
Episode 340	Average Score: 13.65
Episode 350	Average Score: 13.82
Episode 360	Average Score: 14.25
Episode 370	Average Score: 14.44
Episode 380	Average Score: 14.52
Episode 390	Average Score: 14.36
Episode 400	Average Score: 14.67
Episode 410	Average Score: 14.99
Episode 420	Average Score: 15.13
Episode 430	Average Score: 15.33
Episode 440	Average Score: 15.58
Episode 450	Average Score: 15.58
Episode 460	Average Score: 15.32
Episode 470	Average Score: 15.59
Episode 480	Average Score: 15.51
Episode 490	Average Score: 15.56
Episode 500	Average Score: 15.30
Episode 510	Average Score: 15.49
Episode 520	Average Score: 15.28
Episode 530	Average Score: 15.09
Episode 540	Average Score: 15.11
Episode 550	Average Score: 15.27
Episode 560	Average Score: 15.21
Episode 570	Average Score: 15.16
Episode 580	Average Score: 15.33
Episode 590	Average Score: 15.59
Episode 600	Average Score: 15.64
Episode 610	Average Score: 15.29
Episode 620	Average Score: 15.34
Episode 630	Average Score: 15.40
Episode 640	Average Score: 15.70
Episode 650	Average Score: 15.71
Episode 660	Average Score: 15.86
Episode 670	Average Score: 15.88
Episode 680	Average Score: 15.85
Episode 690	Average Score: 15.62
Episode 700	Average Score: 15.81
Episode 710	Average Score: 16.02
Episode 720	Average Score: 16.08
Episode 730	Average Score: 16.30
Episode 740	Average Score: 16.19
Episode 750	Average Score: 16.18
Episode 760	Average Score: 16.17
Episode 770	Average Score: 16.20
Episode 780	Average Score: 16.24
Episode 790	Average Score: 16.42
Episode 800	Average Score: 16.40
Episode 810	Average Score: 16.54
Episode 820	Average Score: 16.37
Episode 830	Average Score: 16.02
Episode 840	Average Score: 15.93
Episode 850	Average Score: 15.87
Episode 860	Average Score: 16.01
Episode 870	Average Score: 15.83
Episode 880	Average Score: 15.86
Episode 890	Average Score: 15.69
Episode 900	Average Score: 15.70
Episode 910	Average Score: 15.59
Episode 920	Average Score: 15.63
Episode 930	Average Score: 15.93
Episode 940	Average Score: 15.88
Episode 950	Average Score: 16.00
Episode 960	Average Score: 16.04
Episode 970	Average Score: 16.06
Episode 980	Average Score: 16.14
Episode 990	Average Score: 16.19
Episode 1000	Average Score: 16.36
Episode 1010	Average Score: 16.19
Episode 1014	Average Score: 16.04
